ID,Severity,Status,Area,File,Lines,Finding,Impact,Fix direction,Verification,Architecture relation,Permalink,Latest review status,Latest review note,Reviewed head
FS-011,Medium,Lead,Projection / sections,crates/flowstate-document/src/loro_projection.rs,130-177,Sections whose start paragraph cannot be resolved are sorted to the end instead of repaired or rejected.,Dangling section metadata can appear attached to unrelated content.,Validate all paragraph references and surface/schedule repair for dangling section anchors.,Delete a section's referenced paragraph concurrently and reopen.,Section boundaries must be CRDT-stable positions.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L130-L177,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-012,High,Confirmed-static,Editor / sections,crates/gpui-flowtext/src/rich_text/editor/lifecycle.rs,19-23,Editor construction immediately rebuilds sections from heading styles.,Canonical Loro page sections loaded by the projector can be overwritten by a derived outline before first render.,Separate page sections from heading outline. Never call `rebuild_document_sections` over canonical projected sections.,Open a document with a non-heading section boundary and inspect the editor projection.,Page sections and heading outline are distinct concepts in the architecture.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/lifecycle.rs#L19-L23,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-013,High,Confirmed-static,Editor / projection patches,crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs,92-145,Every structural projection patch rebuilds the document from blocks.,The rebuild discards section/page metadata and resets unrelated projection state and caches.,"Apply structural patches to a frontier-scoped projection structure that preserves sections, IDs, assets, and page metadata; use full canonical reproject only as fallback.",Apply a remote object insertion to a document with section page settings.,Projection caches are derived but must faithfully represent the same canonical frontier.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs#L92-L145,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-014,High,Confirmed-static,Schema integration / sections,crates/flowstate-document/src/loro_schema.rs,43-220,Section page attributes are defined canonically but are not consistently preserved through editor mutation and export.,The data exists in Loro yet becomes functionally dead or is lost in projection rebuilds.,"Add end-to-end projection, editor, DOCX, PDF, and package round-trip coverage for every section field.","Round-trip non-default page size, margins, columns, orientation, numbering, header, and footer.",The plan requires sections and page structure to operate from Loro state.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_schema.rs#L43-L220,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-015,Medium,Confirmed-static,Schema / sections,crates/flowstate-document/src/loro_schema.rs,451-482,Clearing a header or footer does not remove the old flow-ID attribute.,Setting `None` leaves stale canonical references active.,Delete the map key when the new optional value is None; decide retention policy for unreachable flows separately.,"Set header/footer, clear them, and read attributes back.",Canonical metadata must reflect current state exactly.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_schema.rs#L451-L482,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-016,Medium,Confirmed-static,Schema / validation,crates/flowstate-document/src/loro_schema.rs,463-510,Section numeric attributes are not range-validated.,"Negative/zero dimensions, margins, columns, and numbering starts can enter canonical state and break render/export.",Validate and normalize at the semantic command boundary; retain raw malformed values only for diagnostics.,Inject negative and extreme values through Loro import.,Runtime owns schema validation.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_schema.rs#L463-L510,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-017,High,Confirmed-static,Projection / paragraph-object semantics,crates/flowstate-collab/src/crdt_runtime/projection_patch.rs,210-247,Incremental paragraph projection ignores object placeholders while full projection splits around them.,Full rebuild and incremental update can produce different paragraph indexes and text around the same canonical frontier.,"Use one shared flow parser for full and incremental projection, including inline/object spans.",Edit text adjacent to an object and compare incremental result with a forced full rebuild.,Deterministic rendering from canonical state requires equivalent projection paths.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime/projection_patch.rs#L210-L247,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-018,Medium,Lead,Projection / object ordering,crates/flowstate-document/src/loro_projection.rs,31-45,`object_input_blocks_from_loro` sorts objects by BlockId rather than body anchor.,"Any caller treating this as document order receives registry order, not canonical flow order.",Rename it to registry-order explicitly or return objects in body-anchor order with reachability filtering.,Trace all call sites and compare order with a document containing moved objects.,Body flow is canonical for body-object ordering.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L31-L45,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-019,Medium,Confirmed-static,Diagnostics,crates/flowstate-collab/src/self_check.rs,10-35,"Projection drift hash ignores sections, IDs, frontier, assets, and page metadata.",The self-check can report equality while meaningful projected state differs.,"Hash all user-visible and command-targeting projection fields, or use a canonical serialized diagnostic projection.",Modify only section/page/ID/asset state and compare hashes.,Projection integrity checks should cover all derived state.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/self_check.rs#L10-L35,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-020,Low,Confirmed-static,Diagnostics / performance,crates/flowstate-collab/src/self_check.rs,28-31,Object drift hashing formats entire blocks with Debug.,Large tables and nested structures cause avoidable allocation and unstable diagnostic hashing.,Implement explicit stable hashing for each block type.,Benchmark hash on large nested tables.,Observability should not create large hidden work.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/self_check.rs#L28-L31,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-021,Blocker,Confirmed-static,CRDT runtime / transactions,crates/flowstate-collab/src/crdt_runtime.rs,942-989,A semantic command batch is committed command-by-command and can fail halfway.,"Earlier commands are already canonical, persisted, and emitted before a later command returns an error. The caller sees failure, undo grouping may be missing, and peers can observe intermediate state.","Pre-resolve and validate the entire batch against one frontier, then apply it in one Loro transaction/change and one UndoManager group. Roll back or fork a staged doc on failure.","Submit a valid insert followed by an invalid style/ID command and inspect Loro, package, UI, and outbound updates.",The plan requires grouped semantic commands to become grouped Loro changes.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L942-L989,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-022,High,Confirmed-static,Editor command generation,crates/gpui-flowtext/src/rich_text/editor/edit_pipeline.rs,193-276,Normal edits routinely generate multi-command batches.,"The partial-commit defect is reachable through ordinary replacements, formatting, and paste rather than only malformed API calls.",Fix runtime atomicity; do not rely on command producers to emit one command.,"Exercise replace-selection, paste, and style changes with an injected failure after the first command.",Semantic undo units must be atomic.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/edit_pipeline.rs#L193-L276,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-023,High,Confirmed-static,Workspace / command queues,crates/flowstate/src/workspace/workspace/documents.rs,1726-1753,Queued edit batches are flattened across frontiers with only a debug assertion.,Release builds can combine commands constructed from different projections into one request.,Reject mixed-frontier queues in all builds and rebase each queued command through canonical cursors or resnapshot before submitting.,Queue a second edit after a remote update before the first local flush completes.,Projection coordinates are valid only at their originating frontier.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/workspace/workspace/documents.rs#L1726-L1753,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-024,High,Likely,CRDT actor / coalescing,crates/flowstate-collab/src/crdt_runtime_actor.rs,360-470,Actor coalescing can merge distinct submitters that happen to share a frontier.,"Only one response/event stream may represent multiple requests, and coordinate dependencies between requests are not explicit.",Attach monotonically increasing edit-request IDs; preserve one response per request or prove a single serialized producer invariant.,Concurrent-submit two batches from save/export and live flush.,"One runtime owner is correct, but request semantics must remain explicit.",https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime_actor.rs#L360-L470,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-025,Critical,Confirmed-static,CRDT runtime / authorship,crates/flowstate-collab/src/crdt_runtime.rs,639-649,`set_author_identity` commits canonical Loro state without persistence or LocalUpdate emission.,"The frontier advances outside the package update chain and outside collaboration. Later edits may be stale, and durable user/replica metadata can disappear after reopen.","Route identity changes through the same local-change pipeline as document mutations: capture from frontier/VV, append update, emit LocalUpdate, refresh projection if needed.","Join a session, set identity, close before editing, reopen, and inspect users/replicas.",All canonical Loro changes must be persisted and synchronized.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L639-L649,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-026,High,Confirmed-static,Collaboration startup,crates/flowstate/src/collab/session.rs,650-705,Author registration is launched separately from the first editor flush.,A first edit can race the metadata commit and be rejected as stale or be acknowledged against an unexpected frontier.,Complete runtime initialization and identity persistence before enabling editor capture.,Join and type immediately under artificial actor delay.,The editor projection frontier must match the live runtime before command construction.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session.rs#L650-L705,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-027,High,Confirmed-static,CRDT runtime / durability,crates/flowstate-collab/src/crdt_runtime.rs,1556-1578,Persistence occurs after the Loro mutation is committed.,A disk/journal failure leaves canonical in-memory state changed while the method returns an error and may emit no projection/network events.,"Stage the update and package write before acknowledging success, or track an explicit durable-dirty state and still return canonical events so the UI cannot diverge.",Inject append failure after a valid command.,Canonical mutation and durable append need a defined failure contract.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L1556-L1578,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-028,High,Confirmed-static,Package state / durability,crates/flowstate-document/src/package.rs,371-405,`append_update_segment` mutates the in-memory package before validation completes.,A validation error leaves the package object partially advanced.,"Build a cloned/staged package, validate it, then replace `self` only after success.",Inject invalid frontier/checksum state and compare package before/after error.,Crash-safe package coordination must be transactional.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/package.rs#L371-L405,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-029,High,Confirmed-static,Package state / assets,crates/flowstate-document/src/package.rs,322-326,`replace_assets_from_document` mutates package assets before all fallible validation work.,An error leaves asset indexes and bytes partially changed in memory.,Stage and validate asset replacement before committing to `self`.,Inject malformed asset metadata or index failure.,Package updates must be all-or-nothing.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/package.rs#L322-L326,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-030,High,Confirmed-static,Save / checkpoint,crates/flowstate-collab/src/crdt_runtime.rs,1469-1537,Checkpointing performs many fallible canonical/package mutations without a transaction boundary.,"Failure after revision insertion, cache rebuild, compaction, or path change can leave an internally inconsistent runtime and misleading save status.",Construct a staged checkpoint package and write atomically; only then swap runtime package state and mark saved.,Inject a failure at each step in sequence.,Explicit save is a revision boundary and must be crash-safe.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L1469-L1537,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-031,High,Likely,Journal continuity,crates/flowstate-collab/src/crdt_runtime.rs,1556-1578,A failed append can be followed by a later append from advanced in-memory state.,"The disk journal can receive a segment whose `from_frontier` is not present on disk, creating a replay gap.",Track last durable frontier separately and refuse further appends until the missing segment is durably written or a full atomic snapshot replaces the file.,"Fail one append, allow a later edit to succeed, then reopen from disk.",Update segments must form a complete replay chain.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L1556-L1578,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-032,High,Confirmed-static,Package compaction,crates/flowstate-document/src/package.rs,603-637,Compaction clears update segments and prunes snapshots before all cache rebuild work succeeds.,A later error leaves the in-memory package partially compacted.,"Perform compaction on a clone and commit the clone only after snapshot, caches, indexes, and validation all succeed.",Inject search/projection cache rebuild failures.,Compaction must preserve named revisions and latest state atomically.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/package.rs#L603-L637,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-033,High,Confirmed-static,Tables / concurrency,crates/flowstate-collab/src/crdt_runtime.rs,2860-3260,Generic table replacement clears and repopulates row/column/cell containers.,Normal table edits lose granular CRDT history and turn concurrent structural edits into broad conflicts.,Implement dedicated row/column/cell commands over durable IDs and mutate only affected containers.,Edit different cells/rows concurrently while another peer resizes or moves a column.,Tables must be structurally CRDT-native and not rewritten wholesale.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L2860-L3260,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-034,High,Confirmed-static,Nested text / concurrency,crates/flowstate-collab/src/crdt_runtime.rs,3260-3620,"Alt text, captions, equation source, and table-cell edits use whole-flow replacement paths.",Concurrent character-level edits can overwrite each other instead of merging naturally.,Expose cursor/range text commands for every nested flow and apply LoroText insert/delete/mark operations.,Concurrent-edit distinct positions in each nested flow.,These fields are required to be independent CRDT text flows.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L3260-L3620,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-035,High,Confirmed-static,Tables / identity,crates/flowstate-collab/src/crdt_runtime.rs,2300-2860,"Table editor commands address rows, columns, and cells by numeric index.",Concurrent reorder/insert/delete can make a stale command target the wrong entity.,"Carry durable RowId, ColumnId, CellId and a base frontier/cursor in every semantic command.",Reorder a column remotely while a local cell edit is queued.,Rows/columns/cells require durable Loro-native identity.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L2300-L2860,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-036,High,Likely,Text deletion / objects,crates/flowstate-collab/src/crdt_runtime.rs,1026-1058,The low-level DeleteRange path can delete sentinel/newline/object characters without first pruning or repairing related metadata.,"It can leave orphaned block maps, paragraph maps, sections, or an invalid sentinel.",Reject structural deletion through generic text commands; use semantic join/delete-object commands that update all metadata in one transaction.,"Delete across the sentinel, newline, and U+FFFC through direct runtime API and editor-generated ranges.",Structural characters are not ordinary user text.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L1026-L1058,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-037,High,Lead,Paragraph replacement / objects,crates/gpui-flowtext/src/rich_text/editor/edit_pipeline.rs,193-276,ReplaceParagraphSpan is derived from paragraph-only spans and may cross object boundaries represented separately in the body flow.,A replacement around object-adjacent paragraphs may remove or relocate structural placeholders unintentionally.,"Build semantic ranges from canonical flow cursors including object affinity, not reconstructed paragraph snapshots.",Paste/replace selections spanning text-object-text.,Canonical command positions should use Loro cursors wherever possible.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/edit_pipeline.rs#L193-L276,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-038,Medium,Confirmed-static,Runtime indexes,crates/flowstate-collab/src/crdt_runtime.rs,368-436,Incremental index maintenance only shifts paragraph and placeholder positions.,"Style, search, table, section, asset, and durable-ID indexes can remain stale after patches that do not trigger a rebuild.",Define per-patch updates for every index or conservatively rebuild affected indexes.,Compare every index with a freshly rebuilt runtime index after random patch sequences.,The plan requires explicit projection indexes with reliable invalidation.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L368-L436,Partially fixed; remains open,"Text-length patches now update search_unit_spans as well as paragraph/object positions. The runtime still ignores ParagraphRuns, ParagraphStyle, ReplaceObjectBlock, and AssetArrived for the affected auxiliary indexes, so style/table/asset/identity indexes can remain stale.",9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-039,Medium,Confirmed-static,Runtime actor / memory,crates/flowstate-collab/src/crdt_runtime_actor.rs,70-110,The CRDT actor command channel is unbounded.,"A blocked runtime can accumulate unlimited edits, imports, assets, saves, and exports.",Use bounded channels with backpressure and prioritize shutdown/import/control messages.,Pause actor processing and flood commands.,"Dedicated runtime ownership should isolate work, not create unbounded queues.",https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime_actor.rs#L70-L110,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-040,Medium,Lead,Loro subscriptions,crates/flowstate-collab/src/crdt_runtime.rs,567-604,Subscription summaries and local update byte vectors are unbounded between drains.,Canonical mutations outside ordinary command drains can grow buffers indefinitely.,"Bound buffers, coalesce summaries by frontier/container, and log dropped/coalesced counts.",Generate metadata commits without calling the normal event drain.,Permanent subscriptions need bounded processing.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L567-L604,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-041,Medium,Confirmed-static,Undo input,crates/flowstate-collab/src/crdt_runtime_actor.rs,500-545,Undo/redo forwarding uses non-blocking bounded sends that can drop requests.,Rapid user input can silently lose undo or redo actions.,Disable UI while one undo is in flight or enqueue with an explicit acknowledgement/error.,Hold the actor and press undo repeatedly.,Undo is user-visible state and must not be silently dropped.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime_actor.rs#L500-L545,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-042,Positive,Implemented,Runtime ownership,crates/flowstate-collab/src/crdt_runtime.rs,483-620,"The runtime owns LoroDoc, UndoManager, permanent subscriptions, package state, and projection.",This is the correct core ownership direction.,Keep this boundary while fixing transactionality and event routing.,No defect; retain architecture.,Matches the dedicated CRDT runtime requirement.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime.rs#L483-L620,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
